file,rows,min,max
2025-04-05.csv.gz,30686,2025-04-04 20:16:25.407000+00:00,2025-04-04 23:56:55.205000+00:00
2025-04-07.csv.gz,223227,2025-04-07 01:00:10.429000+00:00,2025-04-07 20:16:24.806000+00:00
2025-04-08.csv.gz,198931,2025-04-07 20:16:25.016000+00:00,2025-04-08 20:16:24.810000+00:00
2025-04-09.csv.gz,231292,2025-04-08 20:16:25.016000+00:00,2025-04-09 20:16:24.810000+00:00
2025-04-10.csv.gz,230588,2025-04-09 20:16:25.002000+00:00,2025-04-10 20:16:24.803000+00:00
2025-04-18.csv.gz,17591,2025-04-17 20:16:25.603000+00:00,2025-04-17 23:58:59.823000+00:00
2025-04-21.csv.gz,159980,2025-04-21 01:00:02.021000+00:00,2025-04-21 20:16:24.602000+00:00
2025-04-22.csv.gz,230870,2025-04-21 20:16:25.008000+00:00,2025-04-22 20:16:24.804000+00:00
2025-04-23.csv.gz,243203,2025-04-22 20:16:25.011000+00:00,2025-04-23 20:16:24.607000+00:00
2025-04-24.csv.gz,193582,2025-04-23 20:16:25.010000+00:00,2025-04-24 20:16:24.405000+00:00
2025-04-25.csv.gz,194923,2025-04-24 20:16:25.203000+00:00,2025-04-25 20:16:24.408000+00:00
2025-04-26.csv.gz,18600,2025-04-25 20:16:25.405000+00:00,2025-04-25 23:56:59.203000+00:00
2025-04-28.csv.gz,157678,2025-04-28 01:00:02.053000+00:00,2025-04-28 20:16:24.206000+00:00
2025-04-29.csv.gz,162232,2025-04-28 20:16:25.206000+00:00,2025-04-29 20:16:24.809000+00:00
2025-04-30.csv.gz,166853,2025-04-29 20:16:25.603000+00:00,2025-04-30 20:16:24.809000+00:00
2025-05-01.csv.gz,171022,2025-04-30 20:16:25.002000+00:00,2025-05-01 20:16:23.807000+00:00
2025-05-02.csv.gz,166609,2025-05-01 20:16:26.001000+00:00,2025-05-02 20:16:24.808000+00:00
2025-05-03.csv.gz,20240,2025-05-02 20:16:25.406000+00:00,2025-05-02 23:56:58.606000+00:00
2025-05-05.csv.gz,149866,2025-05-05 01:00:02.028000+00:00,2025-05-05 20:16:24.805000+00:00
2025-05-06.csv.gz,196491,2025-05-05 20:16:25.008000+00:00,2025-05-06 20:16:24.409000+00:00
2025-05-07.csv.gz,193638,2025-05-06 20:16:25.206000+00:00,2025-05-07 20:16:24.404000+00:00
2025-05-08.csv.gz,206807,2025-05-07 20:16:26.035000+00:00,2025-05-08 20:16:23.207000+00:00
2025-05-09.csv.gz,189484,2025-05-08 20:16:26.809000+00:00,2025-05-09 20:16:24.804000+00:00
2025-05-10.csv.gz,19124,2025-05-09 20:16:25.007000+00:00,2025-05-09 23:56:59.206000+00:00
2025-05-12.csv.gz,195967,2025-05-12 01:00:02.027000+00:00,2025-05-12 20:16:24.431000+00:00
2025-05-13.csv.gz,175471,2025-05-12 20:16:25.203000+00:00,2025-05-13 20:16:24.809000+00:00
2025-05-14.csv.gz,188554,2025-05-13 20:16:25.809000+00:00,2025-05-14 20:16:24.418000+00:00
2025-05-15.csv.gz,198521,2025-05-14 20:16:25.215000+00:00,2025-05-15 20:16:24.810000+00:00
2025-05-16.csv.gz,191385,2025-05-15 20:16:25.213000+00:00,2025-05-16 20:16:23.605000+00:00
2025-05-17.csv.gz,17340,2025-05-16 20:16:25.209000+00:00,2025-05-16 23:56:59.810000+00:00
2025-05-19.csv.gz,148149,2025-05-19 01:00:02.028000+00:00,2025-05-19 20:16:24.210000+00:00
2025-05-20.csv.gz,162739,2025-05-19 20:16:25.016000+00:00,2025-05-20 20:16:24.811000+00:00
2025-05-21.csv.gz,177277,2025-05-20 20:16:26.012000+00:00,2025-05-21 20:16:24.829000+00:00
2025-05-22.csv.gz,200424,2025-05-21 20:16:25.008000+00:00,2025-05-22 20:16:24.406000+00:00
2025-05-23.csv.gz,185229,2025-05-22 20:16:25.213000+00:00,2025-05-23 20:16:24.202000+00:00
2025-05-24.csv.gz,21736,2025-05-23 20:16:26.043000+00:00,2025-05-23 23:56:59.811000+00:00
2025-05-26.csv.gz,106031,2025-05-26 01:00:02.023000+00:00,2025-05-26 20:16:23.203000+00:00
2025-05-27.csv.gz,159045,2025-05-26 20:16:25.207000+00:00,2025-05-27 20:16:24.611000+00:00
2025-05-28.csv.gz,157214,2025-05-27 20:16:26.602000+00:00,2025-05-28 20:16:24.407000+00:00
2025-05-29.csv.gz,188824,2025-05-28 20:16:25.208000+00:00,2025-05-29 20:16:24.406000+00:00
2025-05-30.csv.gz,165965,2025-05-29 20:16:25.210000+00:00,2025-05-30 20:16:24.810000+00:00
2025-05-31.csv.gz,14807,2025-05-30 20:16:25.208000+00:00,2025-05-30 23:56:56.204000+00:00
